id,created_at,screen_name,clean_text,original_text,favorite_count,retweet_count,follower_count,polarity,subjectivity,hashtags,location
1126782558560190464,Fri May 10 09:34:31 +0000 2019,guardian,irish parliament declares climate emergency,Irish parliament declares climate emergency https://t.co/w6pERSX1dR,60,26,7720812,0.0,0.0,,London
1126782530848477186,Fri May 10 09:34:24 +0000 2019,AmnestyGB,perfect analogy of how capitalism is trying to deal with the climate crisis,Perfect analogy of how capitalism is trying to deal with the climate crisis https://t.co/DOvWVAtGv7,6,1,895,1.0,1.0,,Derry City - Belfast 
1126780658582458368,Fri May 10 09:26:58 +0000 2019,xr_cambridge,new cambridge centre for climate repair we can only start to repair the climate once we stop hurting it geoengineering as a substitute for the hard political work of stopping fossil fuel burning is doomed to fail,"New Cambridge ""Centre for Climate Repair."" 

We can only start to repair the climate once we stop hurting it. Geoengineering as a substitute for the hard political work of stopping fossil fuel burning is doomed to fail. @emilyshuckburgh 

https://t.co/7jH3jf3VGq",8,3,2173,-0.13106060606060604,0.4792424242424242,,"Cambridge, England"
1126780057244930048,Fri May 10 09:24:34 +0000 2019,guardianeco,irish parliament declares climate emergency,Irish parliament declares climate emergency https://t.co/IzuVzWDaMJ,47,11,453563,0.0,0.0,,"London, UK"
1126779960759341058,Fri May 10 09:24:11 +0000 2019,WWFEU,following e uelections201 political parties should adopt a european sustainability pact actions on climate and environment that the next president and must drive forward during their mandate,"Following #EUelections2019, political parties should adopt a European Sustainability Pact: actions on climate and environment that the next @EU_Commission President and @Europarl_EN must drive forward during their mandate. https://t.co/YdwQNQhvxV",7,2,25397,0.0,0.05,EUelections2019,Brussels
1126778789294485504,Fri May 10 09:19:32 +0000 2019,TechCrunch,scalable low cost technologies needed to repair climate cambridge professor suggests by,"Scalable, low cost technologies needed to repair climate, Cambridge professor suggests https://t.co/2o1Mf6ssjC by @riptari https://t.co/CjrBdIkWOu",14,5,10053345,0.0,0.3,,"San Francisco, CA"
1126778317057576961,Fri May 10 09:17:39 +0000 2019,mslucycooke,our beautiful common frog could go extinct in years if we do not get a grip on our climate crisis,Our beautiful common frog could go extinct in 50 years if we don’t get a grip on our climate crisis  https://t.co/mlUSX3yy33,8,4,10536,0.05000000000000001,0.7000000000000001,,London
1126778140099923968,Fri May 10 09:16:57 +0000 2019,LNBDublin,for the love of god listening to richard bruton promote a carbon tax while defending issuing fossil fuel eloration licenses and lng terminals sums up the hypocrisy and failure of fine gaels approach to climate action climate emergency,"For the love of god, listening to Richard Bruton promote a carbon tax while defending issuing fossil fuel exploration licenses and LNG terminals sums up the hypocrisy and failure of Fine Gaels approach to climate action 🤦‍♀️. @TodaySOR 
#ClimateEmergency",32,8,12657,0.175,0.375,ClimateEmergency,Dublin
1126777875779035138,Fri May 10 09:15:54 +0000 2019,BK6785,billiondollar bill is all at sea on his climate policy seems to think he can go on election campaign unchallenged on policy detail treating voters as mugs auspol ausvotes 7news heraldsun,@7NewsMelbourne #billiondollarBill is all at sea on his climate policy Seems to think he can go on election campaign unchallenged on policy detail Treating voters as mugs #auspol #ausvotes #7news #heraldsun https://t.co/MNiKIDpi7t,8,5,672,0.0,0.0,"billiondollarBill, auspol, ausvotes, 7news, heraldsun",
1126776979770920961,Fri May 10 09:12:21 +0000 2019,business,scientists agree that coal is choking the planet so why is it so hard for governments to ditch,Scientists agree that coal is choking the planet—so why is it so hard for governments to ditch? https://t.co/qsK0xxU0GO,18,13,5322200,-0.2916666666666667,0.5416666666666666,,New York and the World
